"","Wort","sentiment score"
"2044","Dilemmas","-0.3403"
"2045","Diskriminierungen","-0.0048"
"2046","Dissensen","-0.0048"
"2047","Dissense","-0.0048"
"2048","Dissenses","-0.0048"
"2049","Dominierungen","-0.0048"
"2050","Doppeldeutigkeiten","-0.0048"
"2051","Doppelspiele","-0.0048"
"2052","Doppelspieles","-0.0048"
"2053","Doppelspiels","-0.0048"
"2054","Doppelspielen","-0.0048"
"2055","Dreckes","-0.0048"
"2056","Drecks","-0.0048"
"2057","Driften","-0.0048"
"2058","Drohungen","-0.0048"
"2059","Drosselungen","-0.3178"
"2060","Dummheiten","-0.4877"
"2061","Dummköpfen","-0.0048"
"2062","Dummkopfes","-0.0048"
"2063","Dummköpfe","-0.0048"
"2064","Dummkopfs","-0.0048"
"2065","Dunkelheiten","-0.3547"
"2066","Durcheinanders","-0.0048"
"2067","Durcheinandern","-0.0048"
"2068","Dussels","-0.3094"
"2069","Dusseln","-0.3094"
"2070","Dämpfern","-0.0048"
"2071","Dämpfers","-0.0048"
"2072","Dürren","-0.0048"
"2073","Düsternisen","-0.0048"
"2074","Düsternise","-0.0048"
"2075","Egoisten","-0.3179"
"2076","Ehebruches","-0.4743"
"2077","Ehebruchs","-0.4743"
"2078","Ehebrüche","-0.4743"
"2079","Ehebrüchen","-0.4743"
"2080","Einbrechers","-0.0048"
"2081","Einbrechern","-0.0048"
"2082","Einbrüche","-0.3498"
"2083","Einbruches","-0.3498"
"2084","Einbrüchen","-0.3498"
"2085","Einbruchs","-0.3498"
"2086","Einbußen","-0.0048"
"2087","Einsamkeiten","-0.339"
"2088","Einschlägen","-0.0048"
"2089","Einschlages","-0.0048"
"2090","Einschläge","-0.0048"
"2091","Einschlags","-0.0048"
"2092","Einschränkungen","-0.2048"
"2093","Einschüchterungen","-0.0048"
"2094","Einstürzen","-0.0048"
"2095","Einsturzs","-0.0048"
"2096","Einsturzes","-0.0048"
"2097","Einstürze","-0.0048"
"2098","Ekeln","-0.462"
"2099","Ekeles","-0.462"
"2100","Ekels","-0.462"
"2101","Elends","-0.2013"
"2102","Empörungen","-0.0048"
"2103","Endes","-0.2088"
"2104","Enden","-0.2088"
"2105","Entbindungen","-0.0048"
"2106","Entfremdungen","-0.0048"
"2107","Entführungen","-0.0048"
"2108","Enthauptungen","-0.0048"
"2109","Entlassungen","-0.0048"
"2110","Entmutigungen","-0.0048"
"2111","Enttäuschungen","-0.3378"
"2112","Entziehungen","-0.0048"
"2113","Epidemien","-0.0048"
"2114","Ermahnungen","-0.0048"
"2115","Ermordungen","-0.332"
"2116","Ermüdungen","-0.0048"
"2117","Erniedrigungen","-0.3259"
"2118","Ernüchterungen","-0.0048"
"2119","Erosionen","-0.0666"
"2120","Erpressungen","-0.0048"
"2121","Erschöpfungen","-0.0595"
"2122","Erschütterungen","-0.0048"
"2123","Explosionen","-0.0048"
"2124","Fahrlässigkeiten","-0.0048"
"2125","Farcen","-0.3349"
"2126","Faschisten","-0.0048"
"2127","Fehden","-0.0048"
"2128","Fehlanzeigen","-0.0048"
"2129","Fehlern","-0.6752"
"2130","Fehlers","-0.6752"
"2131","Fehlermeldungen","-0.4765"
"2132","Fehlkaufes","-0.0048"
"2133","Fehlkaufs","-0.0048"
"2134","Fehlkäufe","-0.0048"
"2135","Fehlkäufen","-0.0048"
"2136","Fehlkonstruktionen","-0.0048"
"2137","Fehlleistungen","-0.0048"
"2138","Fehltrittes","-0.0048"
"2139","Fehltritten","-0.0048"
"2140","Fehltritte","-0.0048"
"2141","Fehltritts","-0.0048"
"2142","Feindes","-0.8054"
"2143","Feinde","-0.8054"
"2144","Feinds","-0.8054"
"2145","Feinden","-0.8054"
"2146","Feuern","-0.0445"
"2147","Feuers","-0.0445"
"2148","Fiaskos","-0.0048"
"2149","Finanzkrisen","-0.3283"
"2150","Finten","-0.0048"
"2151","Flauten","-0.0413"
"2152","Fluchs","-0.3534"
"2153","Flüchen","-0.3534"
"2154","Flüche","-0.3534"
"2155","Fluches","-0.3534"
"2156","Fluchten","-0.0048"
"2157","Flüchtigkeiten","-0.0048"
"2158","Flüchtlings","-0.0048"
"2159","Flüchtlinge","-0.0048"
"2160","Flüchtlinges","-0.0048"
"2161","Flüchtlingen","-0.0048"
"2162","Frechheiten","-0.4665"
"2163","Frustes","-0.469"
"2164","Frusts","-0.469"
"2165","Frustrationen","-0.3354"
"2166","Fälschungen","-0.3377"
"2167","Gammlers","-0.0048"
"2168","Gammlern","-0.0048"
"2169","Gangsters","-0.3375"
"2170","Gangstern","-0.3375"
"2171","Gaunern","-0.4592"
"2172","Gauners","-0.4592"
"2173","Gebrechens","-0.3251"
"2174","Gedrängen","-0.0571"
"2175","Gedränges","-0.0571"
"2176","Gefahren","-1"
"2177","Gefechten","-0.3373"
"2178","Gefechtes","-0.3373"
"2179","Gefechte","-0.3373"
"2180","Gefechts","-0.3373"
"2181","Gefährdungen","-0.0048"
"2182","Gegnern","-0.344"
"2183","Gegners","-0.344"
"2184","Geisteskrankheiten","-0.0048"
"2185","Geistlosigkeiten","-0.0048"
"2186","Geizen","-0.0048"
"2187","Geizes","-0.0048"
"2188","Geize","-0.0048"
"2189","Geizs","-0.0048"
"2190","Geizhälsen","-0.0048"
"2191","Geizhälse","-0.0048"
"2192","Geizhalss","-0.0048"
"2193","Geizhalses","-0.0048"
"2194","Geizkragens","-0.0048"
"2195","Geldstrafen","-0.3299"
"2196","Geschmacklosigkeiten","-0.0048"
"2197","Geschäftsauflösungen","-0.0048"
"2198","Gestanks","-0.0048"
"2199","Gestankes","-0.0048"
"2200","Gewalten","-0.5363"
"2201","Gifts","-0.3505"
"2202","Giftes","-0.3505"
"2203","Giften","-0.3505"
"2204","Gifte","-0.3505"
"2205","Grausamkeiten","-0.3348"
"2206","Grolls","-0.6021"
"2207","Grolles","-0.6021"
"2208","Grotesken","-0.0048"
"2209","Hafte","-0.0048"
"2210","Hafts","-0.0048"
"2211","Haften","-0.0048"
"2212","Haftes","-0.0048"
"2213","Handgemenges","-0.3174"
"2214","Handgemengen","-0.3174"
"2215","Handicaps","-0.0426"
"2216","Hasss","-0.5014"
"2217","Heimsuchungen","-0.0048"
"2218","Hemmungen","-0.0048"
"2219","Herausforderungen","-0.0048"
"2220","Heucheleien","-0.0048"
"2221","Heuchlers","-0.3251"
"2222","Heuchlern","-0.3251"
"2223","Hinderniss","-0.0048"
"2224","Hindernises","-0.0048"
"2225","Hindernisses","-0.0048"
"2226","Hindernise","-0.0048"
"2227","Hindernisen","-0.0048"
"2228","Hindernissen","-0.0048"
"2229","Hindernisse","-0.0048"
"2230","Hinterhaltes","-0.0048"
"2231","Hinterhalts","-0.0048"
"2232","Hinterhalte","-0.0048"
"2233","Hinterhalten","-0.0048"
"2234","Hohnes","-0.0048"
"2235","Hohns","-0.0048"
"2236","Horrors","-0.0509"
"2237","Hungeres","-0.3531"
"2238","Hungers","-0.3531"
"2239","Hungersnöten","-0.4739"
"2240","Hungersnöte","-0.4739"
"2241","Hungertods","-0.0048"
"2242","Hysterien","-0.3386"
"2243","Härten","-0.0446"
"2244","Höllen","-0.5052"
"2245","Idioten","-0.0048"
"2246","Illegalitäten","-0.0048"
"2247","Ineffizienzen","-0.0048"
"2248","Infektionen","-0.2059"
"2249","Infiltrationen","-0.0048"
"2250","Inflationen","-0.3462"
"2251","Inkompetenzen","-0.0048"
"2252","Inkonsequenzen","-0.0455"
"2253","Instabilitäten","-0.3358"
"2254","Interventionen","-0.1975"
"2255","Invasionen","-0.0048"
"2256","Isolationen","-0.3453"
"2257","Jammers","-0.4613"
"2258","Jammeres","-0.4613"
"2259","Kapitalverbrechens","-0.0048"
"2260","Kapitulationen","-0.0048"
"2261","Katastrophen","-0.5027"
"2262","Keims","-0.0048"
"2263","Keime","-0.0048"
"2264","Keimes","-0.0048"
"2265","Keimen","-0.0048"
"2266","Klagen","-0.0048"
"2267","Klischees","-0.48"
"2268","Klägers","-0.3673"
"2269","Klägern","-0.3673"
"2270","Kollapses","-0.0048"
"2271","Kollapsen","-0.0048"
"2272","Kollapse","-0.0048"
"2273","Kollisionen","-0.3323"
"2274","Komplikationen","-0.0048"
"2275","Konfliktes","-0.0048"
"2276","Konflikte","-0.0048"
"2277","Konflikts","-0.0048"
"2278","Konflikten","-0.0048"
"2279","Konfrontationen","-0.0048"
"2280","Konkurrenzen","-0.0461"
"2281","Konkurrenzkampfs","-0.0494"
"2282","Konkurrenzkämpfe","-0.0494"
"2283","Konkurrenzkampfes","-0.0494"
"2284","Konkurrenzkämpfen","-0.0494"
"2285","Konkurse","-0.0048"
"2286","Konkurses","-0.0048"
"2287","Konkursen","-0.0048"
"2288","Kontroversen","-0.3329"
"2289","Korruptionen","-0.3439"
"2290","Krächen","-0.0048"
"2291","Kräche","-0.0048"
"2292","Krachs","-0.0048"
"2293","Kraches","-0.0048"
"2294","Krache","-0.0048"
"2295","Krachen","-0.0048"
"2296","Krankheiten","-0.6858"
"2297","Kriegs","-0.5364"
"2298","Krieges","-0.5364"
"2299","Kriegen","-0.5364"
"2300","Kriege","-0.5364"
"2301","Krisen","-0.3621"
"2302","Kritiken","-0.5308"
"2303","Kritikers","-0.6494"
"2304","Kritikern","-0.6494"
"2305","Kränkungen","-0.0048"
"2306","Krüppeln","-0.3203"
"2307","Krüppels","-0.3203"
"2308","Kurseinbruchs","-0.0048"
"2309","Kurseinbrüche","-0.0048"
"2310","Kurseinbruches","-0.0048"
"2311","Kurseinbrüchen","-0.0048"
"2312","Kündigungen","-0.0048"
"2313","Kürzungen","-0.341"
"2314","Langweilern","-0.0443"
"2315","Langweilers","-0.0443"
"2316","Lasten","-0.0048"
"2317","Lebensgefahren","-0.0048"
"2318","Leichtsinns","-0.3253"
"2319","Leichtsinnsfehlers","-0.0371"
"2320","Leichtsinnsfehlern","-0.0371"
"2321","Leides","-0.5056"
"2322","Leids","-0.5056"
"2323","Liquidationen","-0.0048"
"2324","Lähmungen","-0.0048"
"2325","Löschungen","-0.0048"
"2326","Lügen","-0.5"
"2327","Lügnern","-0.4767"
"2328","Lügners","-0.4767"
"2329","Makels","-0.1813"
"2330","Makeln","-0.1813"
"2331","Manipulationen","-0.3455"
"2332","Massakern","-0.0048"
"2333","Massakers","-0.0048"
"2334","Melodramen","-0.0048"
"2335","Merkwürdigkeiten","-0.0048"
"2336","Minderungen","-0.0048"
"2337","Missbräuchen","-0.0048"
"2338","Missbrauches","-0.0048"
"2339","Missbräuche","-0.0048"
"2340","Missbrauchs","-0.0048"
"2341","Missgeschicken","-0.0472"
"2342","Missgeschicks","-0.0472"
"2343","Missgeschicke","-0.0472"
"2344","Missgeschickes","-0.0472"
"2345","Misstrauens","-0.4778"
"2346","Misstrauensanträge","-0.0048"
"2347","Misstrauensanträgen","-0.0048"
"2348","Misstrauensantrages","-0.0048"
"2349","Misstrauensantrags","-0.0048"
"2350","Missverständniss","-0.4756"
"2351","Missverständnise","-0.4756"
"2352","Missverständnises","-0.4756"
"2353","Missverständnisen","-0.4756"
"2354","Mists","-0.1732"
"2355","Mistes","-0.1732"
"2356","Monotonien","-0.0048"
"2357","Mordes","-0.3595"
"2358","Morde","-0.3595"
"2359","Mords","-0.3595"
"2360","Morden","-0.3595"
"2361","Mühen","-0.0048"
"2362","Mülls","-0.3377"
"2363","Nachlässigkeiten","-0.0048"
"2364","Nachteilen","-0.8102"
"2365","Nachteile","-0.8102"
"2366","Nachteils","-0.8102"
"2367","Nachteiles","-0.8102"
"2368","Narren","-0.335"
"2369","Neides","-0.4729"
"2370","Neids","-0.4729"
"2371","Niedergangs","-0.0048"
"2372","Niederganges","-0.0048"
"2373","Niederlagen","-0.3651"
"2374","Nöten","-0.2187"
"2375","Nöte","-0.2187"
"2376","Notfalles","-0.0468"
"2377","Notfällen","-0.0468"
"2378","Notfalls","-0.0468"
"2379","Notfälle","-0.0468"
"2380","Notstandes","-0.0048"
"2381","Notständen","-0.0048"
"2382","Notstands","-0.0048"
"2383","Notstände","-0.0048"
"2384","Nötigungen","-0.0048"
"2385","Oberflächlichkeiten","-0.3299"
"2386","Offensiven","-0.0048"
"2387","Oppositionen","-0.3631"
"2388","Paniken","-0.3429"
"2389","Pannen","-0.1901"
"2390","Peches","-0.4823"
"2391","Pechen","-0.4823"
"2392","Peche","-0.4823"
"2393","Pechs","-0.4823"
"2394","Pflichten","-0.3577"
"2395","Pleiten","-0.3323"
"2396","Preissturzs","-0.0048"
"2397","Preisstürze","-0.0048"
"2398","Preisstürzen","-0.0048"
"2399","Preissturzes","-0.0048"
"2400","Probleme","-0.3865"
"2401","Problemen","-0.3865"
"2402","Problems","-0.3865"
"2403","Provisorien","-0.0048"
"2404","Provisoriums","-0.0048"
"2405","Provokationen","-0.0048"
"2406","Qualen","-0.0402"
"2407","Raubs","-0.0048"
"2408","Raubes","-0.0048"
"2409","Rauben","-0.0048"
"2410","Raube","-0.0048"
"2411","Rechtswidrigkeiten","-0.0499"
"2412","Redundanzen","-0.0048"
"2413","Reinfälle","-0.0048"
"2414","Reinfalls","-0.0048"
"2415","Reinfällen","-0.0048"
"2416","Reinfalles","-0.0048"
"2417","Reklamationen","-0.0048"
"2418","Reparaturen","-0.0048"
"2419","Revolten","-0.0048"
"2420","Revolutionen","-0.0048"
"2421","Rezessionen","-0.3454"
"2422","Rivalen","-0.0502"
"2423","Rivalitäten","-0.0048"
"2424","Rostes","-0.0048"
"2425","Rosten","-0.0048"
"2426","Roste","-0.0048"
"2427","Rosts","-0.0048"
"2428","Ruins","-0.0048"
"2429","Rutschs","-0.0048"
"2430","Rutschen","-0.0048"
"2431","Rutsches","-0.0048"
"2432","Rutsche","-0.0048"
"2433","Rätselratens","-0.0048"
"2434","Räubers","-0.3508"
"2435","Räubern","-0.3508"
"2436","Rückfalls","-0.0048"
"2437","Rückfällen","-0.0048"
"2438","Rückfälle","-0.0048"
"2439","Rückfalles","-0.0048"
"2440","Rückgangs","-0.2096"
"2441","Rückganges","-0.2096"
"2442","Rückgängen","-0.2096"
"2443","Rückgänge","-0.2096"
"2444","Rückschritten","-0.0048"
"2445","Rückschritts","-0.0048"
"2446","Rückschritte","-0.0048"
"2447","Rückschrittes","-0.0048"
"2448","Rücksendungen","-0.3465"
"2449","Rücksichtslosigkeiten","-0.0048"
"2450","Rückständen","-0.063"
"2451","Rückstands","-0.063"
"2452","Rückstände","-0.063"
"2453","Rückstandes","-0.063"
"2454","Rücktritte","-0.0048"
"2455","Rücktritts","-0.0048"
"2456","Rücktrittes","-0.0048"
"2457","Rücktritten","-0.0048"
"2458","Sabotagen","-0.0048"
"2459","Sackgassen","-0.3455"
"2460","Schadens","-0.5299"
"2461","Schadensbildern","-0.0048"
"2462","Schadensbilder","-0.0048"
"2463","Schadensbilds","-0.0048"
"2464","Schadensbildes","-0.0048"
"2465","Schanden","-0.0048"
"2466","Scheidungen","-0.2023"
"2467","Schelten","-0.0048"
"2468","Scheußlichkeiten","-0.0048"
"2469","Schlachtfeldern","-0.0048"
"2470","Schlachtfeldes","-0.0048"
"2471","Schlachtfelder","-0.0048"
"2472","Schlachtfelds","-0.0048"
"2473","Schlages","-0.0048"
"2474","Schlags","-0.0048"
"2475","Schlägen","-0.0048"
"2476","Schläge","-0.0048"
"2477","Schlampereien","-0.0048"
"2478","Schlechtigkeiten","-0.4646"
"2479","Schlitterbahnen","-0.0048"
"2480","Schlägereien","-0.0048"
"2481","Schmerzes","-0.0048"
"2482","Schmerzs","-0.0048"
"2483","Schmerzen","-0.0048"
"2484","Schmuggels","-0.0048"
"2485","Schmuggeles","-0.0048"
"2486","Schmutzs","-0.0542"
"2487","Schmutzes","-0.0542"
"2488","Schockn","-0.0048"
"2489","Schocks","-0.0048"
"2490","Schocke","-0.0048"
"2491","Schocken","-0.0048"
"2492","Schockes","-0.0048"
"2493","Schrammen","-0.0048"
"2494","Schrecke","-0.194"
"2495","Schrecken","-0.194"
"2496","Schrecks","-0.194"
"2497","Schreckes","-0.194"
"2498","Schrottes","-0.0534"
"2499","Schrotts","-0.0534"
"2500","Schrotte","-0.0534"
"2501","Schrotten","-0.0534"
"2502","Schrägläufen","-0.0048"
"2503","Schräglaufs","-0.0048"
"2504","Schräglaufes","-0.0048"
"2505","Schrägläufe","-0.0048"
"2506","Schubse","-0.0048"
"2507","Schubsen","-0.0048"
"2508","Schubses","-0.0048"
"2509","Schulden","-0.9686"
"2510","Schuldnern","-0.0048"
"2511","Schuldners","-0.0048"
"2512","Schuldnerinnen","-0.0048"
"2513","Schurken","-0.3306"
"2514","Schwierigkeiten","-0.0483"
"2515","Schwunds","-0.0048"
"2516","Schwundes","-0.0048"
"2517","Schwächen","-0.5035"
"2518","Schwächungen","-0.337"
"2519","Schädigungen","-0.0048"
"2520","Senkungen","-0.0545"
"2521","Sinnlosigkeiten","-0.0048"
"2522","Skandales","-0.0048"
"2523","Skandals","-0.0048"
"2524","Skandale","-0.0048"
"2525","Skandalen","-0.0048"
"2526","Sklaven","-0.3281"
"2527","Sorgen","-0.3618"
"2528","Spotts","-0.3357"
"2529","Spottes","-0.3357"
"2530","Sprengstoffes","-0.0048"
"2531","Sprengstoffs","-0.0048"
"2532","Sprengstoffe","-0.0048"
"2533","Sprengstoffen","-0.0048"
"2534","Sprengungen","-0.0048"
"2535","Stagnationen","-0.0048"
"2536","Staus","-0.0438"
"2537","Sterbens","-0.0539"
"2538","Stilllegungen","-0.0048"
"2539","Stillstanden","-0.0048"
"2540","Stillstandes","-0.0048"
"2541","Stillstande","-0.0048"
"2542","Stillstands","-0.0048"
"2543","Stornierungen","-0.0048"
"2544","Stoßes","-0.0048"
"2545","Stoßs","-0.0048"
"2546","Stößen","-0.0048"
"2547","Stöße","-0.0048"
"2548","Strafverfahrens","-0.0048"
"2549","Strapazen","-0.0048"
"2550","Streiks","-0.0048"
"2551","Streites","-0.6632"
"2552","Streits","-0.6632"
"2553","Streiten","-0.6632"
"2554","Streite","-0.6632"
"2555","Stresss","-0.0048"
"2556","Stresses","-0.0048"
"2557","Stresse","-0.0048"
"2558","Stressen","-0.0048"
"2559","Sturzs","-0.6316"
"2560","Sturzen","-0.6316"
"2561","Stürze","-0.6316"
"2562","Sturzes","-0.6316"
"2563","Stürzen","-0.6316"
"2564","Sturze","-0.6316"
"2565","Störungen","-0.3569"
"2566","Süchte","-0.3505"
"2567","Süchten","-0.3505"
"2568","Sündenbockes","-0.3285"
"2569","Sündenböcke","-0.3285"
"2570","Sündenböcken","-0.3285"
"2571","Sündenbocks","-0.3285"
"2572","Terrors","-0.0048"
"2573","Teuerungen","-0.322"
"2574","Teuerungsraten","-0.0048"
"2575","Teufelskreiss","-0.479"
"2576","Teufelskreise","-0.479"
"2577","Teufelskreisen","-0.479"
"2578","Teufelskreises","-0.479"
"2579","Tods","-0.0697"
"2580","Todes","-0.0697"
"2581","Tode","-0.0697"
"2582","Toden","-0.0697"
"2583","Todesfälle","-0.0048"
"2584","Todesfällen","-0.0048"
"2585","Todesfalls","-0.0048"
"2586","Todesfalles","-0.0048"
"2587","Todesstrafen","-0.0048"
"2588","Torheiten","-0.0048"
"2589","Totschlägen","-0.0048"
"2590","Totschlags","-0.0048"
"2591","Totschlages","-0.0048"
"2592","Totschläge","-0.0048"
"2593","Tragödien","-0.0048"
"2594","Traumen","-0.0048"
"2595","Traurigkeiten","-0.0457"
"2596","Trennungen","-0.5071"
"2597","Tristessen","-0.0555"
"2598","Trottes","-0.0048"
"2599","Trotten","-0.0048"
"2600","Trotts","-0.0048"
"2601","Trotte","-0.0048"
"2602","Trägheiten","-0.1937"
"2603","Tränen","-0.0562"
"2604","Trübsalen","-0.189"
"2605","Trübsale","-0.189"
"2606","Tyranneien","-0.3243"
"2607","Täuschungen","-0.3445"
"2608","Umtauschen","-0.343"
"2609","Umtausches","-0.343"
"2610","Umtauschs","-0.343"
"2611","Umtäusche","-0.343"
"2612","Umtausche","-0.343"
"2613","Umtäuschen","-0.343"
"2614","Unbehagens","-0.3291"
"2615","Unbehaglichkeiten","-0.0048"
"2616","Unbequemlichkeiten","-0.0048"
"2617","Uneinigkeiten","-0.3289"
"2618","Unfällen","-0.0048"
"2619","Unfalls","-0.0048"
"2620","Unfälle","-0.0048"
"2621","Unfalles","-0.0048"
"2622","Unfreundlichkeiten","-0.3085"
"2623","Ungenauigkeiten","-0.0048"
"2624","Ungerechtigkeiten","-0.3419"
"2625","Ungeschicklichkeiten","-0.3116"
"2626","Ungleichheiten","-0.0048"
"2627","Unglückes","-0.5004"
"2628","Unglücks","-0.5004"
"2629","Unglücke","-0.5004"
"2630","Unglücken","-0.5004"
"2631","Unhöflichkeiten","-0.0048"
"2632","Unklarheiten","-0.0048"
"2633","Unmenschlichkeiten","-0.0048"
"2634","Unmutes","-0.3394"
"2635","Unmuts","-0.3394"
"2636","Unordnungen","-0.3391"
"2637","Unrechtes","-0.5086"
"2638","Unrechts","-0.5086"
"2639","Unregelmäßigkeiten","-0.0048"
"2640","Unsicherheiten","-0.358"
"2641","Unsinnes","-0.4969"
"2642","Unsinns","-0.4969"
"2643","Unstetigkeiten","-0.3075"
"2644","Unstimmigkeiten","-0.0048"
"2645","Unterbrechungen","-0.0048"
"2646","Unterdrückungen","-0.0048"
"2647","Untergangs","-0.3498"
"2648","Untergängen","-0.3498"
"2649","Unterganges","-0.3498"
"2650","Untergänge","-0.3498"
"2651","Unterlassungen","-0.0048"
"2652","Unterwerfungen","-0.3279"
"2653","Unvereinbarkeiten","-0.0048"
"2654","Unverschämtheiten","-0.0048"
"2655","Unvollkommenheiten","-0.0048"
"2656","Unwahrheiten","-0.466"
"2657","Unzumutbarkeiten","-0.0048"
"2658","Vagheiten","-0.0048"
"2659","Verbannungen","-0.0048"
"2660","Verbots","-0.0048"
"2661","Verbotes","-0.0048"
"2662","Verboten","-0.0048"
"2663","Verbote","-0.0048"
"2664","Verdachts","-0.8074"
"2665","Verdachte","-0.8074"
"2666","Verdachten","-0.8074"
"2667","Verdachtes","-0.8074"
"2668","Verdrängungen","-0.0048"
"2669","Verfalles","-0.0048"
"2670","Verfalls","-0.0048"
"2671","Verfehlungen","-0.0048"
"2672","Vergeltungen","-0.3369"
"2673","Vergeltungsmaßnahmen","-0.0048"
"2674","Vergeudungen","-0.0048"
"2675","Verhängnisses","-0.0048"
"2676","Verhängnissen","-0.0048"
"2677","Verhängnise","-0.0048"
"2678","Verhängnisen","-0.0048"
"2679","Verhängnises","-0.0048"
"2680","Verhängnisse","-0.0048"
"2681","Verhängniss","-0.0048"
"2682","Verkleinerungen","-0.0048"
"2683","Verlangsamungen","-0.0048"
"2684","Verletzungen","-0.5032"
"2685","Verleumdungen","-0.4792"
"2686","Verlierern","-0.3441"
"2687","Verlierers","-0.3441"
"2688","Vermeidungen","-0.0048"
"2689","Verminderungen","-0.0048"
"2690","Vernachlässigungen","-0.328"
"2691","Vernichtungen","-0.4883"
"2692","Verrats","-0.0048"
"2693","Verraten","-0.0048"
"2694","Verrate","-0.0048"
"2695","Verrates","-0.0048"
"2696","Verräters","-0.3352"
"2697","Verrätern","-0.3352"
"2698","Verrücktheiten","-0.0048"
"2699","Verschlechterungen","-0.4959"
"2700","Verschmutzungen","-0.3392"
"2701","Verschwendungen","-0.0048"
"2702","Verschwörungen","-0.3355"
"2703","Versenkungen","-0.0048"
"2704","Versklavungen","-0.0048"
"2705","Verstoßes","-0.0048"
"2706","Verstöße","-0.0048"
"2707","Verstößen","-0.0048"
"2708","Verstoßs","-0.0048"
"2709","Verstrickungen","-0.0048"
"2710","Versuchungen","-0.3463"
"2711","Versäumniss","-0.0048"
"2712","Versäumnise","-0.0048"
"2713","Versäumnises","-0.0048"
"2714","Versäumnisen","-0.0048"
"2715","Vertreibungen","-0.0048"
"2716","Verurteilungen","-0.0048"
"2717","Verweigerungen","-0.3441"
"2718","Verwerfungen","-0.3202"
"2719","Verwirrungen","-0.3323"
"2720","Verwundungen","-0.0048"
"2721","Verwüstungen","-0.0048"
"2722","Verzerrungen","-0.0048"
"2723","Verzichts","-0.2022"
"2724","Verzichtes","-0.2022"
"2725","Verzichten","-0.2022"
"2726","Verzichte","-0.2022"
"2727","Verzweiflungen","-0.0048"
"2728","Verzögerungen","-0.0048"
"2729","Vorurteils","-0.6261"
"2730","Vorurteilen","-0.6261"
"2731","Vorurteile","-0.6261"
"2732","Vorwände","-0.0048"
"2733","Vorwandes","-0.0048"
"2734","Vorwands","-0.0048"
"2735","Vorwänden","-0.0048"
"2736","Vorwürfen","-0.5095"
"2737","Vorwurfs","-0.5095"
"2738","Vorwürfe","-0.5095"
"2739","Vorwurfes","-0.5095"
"2740","Wahnsinns","-0.0048"
"2741","Wermutstropfens","-0.3356"
"2742","Wertverluste","-0.0048"
"2743","Wertverlustes","-0.0048"
"2744","Wertverlusts","-0.0048"
"2745","Wertverlusten","-0.0048"
"2746","Wichtigtuers","-0.0048"
"2747","Wichtigtuern","-0.0048"
"2748","Widernatürlichkeiten","-0.0048"
"2749","Widerrufs","-0.0048"
"2750","Widersprüche","-0.3655"
"2751","Widersprüchen","-0.3655"
"2752","Widerspruchs","-0.3655"
"2753","Widerspruches","-0.3655"
"2754","Widrigkeiten","-0.0048"
"2755","Wirtschaftskrisen","-0.0048"
"2756","Wracks","-0.0048"
"2757","Wunden","-0.3396"
"2758","Wüsten","-0.0048"
"2759","Zahlungsunfähigkeiten","-0.0048"
"2760","Zeitverschwendungen","-0.3223"
"2761","Zensuren","-0.3468"
"2762","Zerrungen","-0.0048"
"2763","Zerschlagungen","-0.0048"
"2764","Zerstörungen","-0.3578"
"2765","Zolls","-0.0048"
"2766","Zölle","-0.0048"
"2767","Zolln","-0.0048"
"2768","Zolles","-0.0048"
"2769","Zöllen","-0.0048"
"2770","Zumutungen","-0.3286"
"2771","Zusammenbrüche","-0.0048"
"2772","Zusammenbruchs","-0.0048"
"2773","Zusammenbruches","-0.0048"
"2774","Zusammenbrüchen","-0.0048"
"2775","Zusammenstoßes","-0.3302"
"2776","Zusammenstöße","-0.3302"
"2777","Zusammenstoßs","-0.3302"
"2778","Zusammenstößen","-0.3302"
"2779","Zwanges","-0.0721"
"2780","Zwängen","-0.0721"
"2781","Zwänge","-0.0721"
"2782","Zwangs","-0.0721"
"2783","Zwangslagen","-0.0048"
"2784","abgedankt","-0.0048"
"2785","abdanke","-0.0048"
"2786","abdankte","-0.0048"
"2787","abdank","-0.0048"
"2788","abdankt","-0.0048"
"2789","abdanktet","-0.0048"
"2790","abdankest","-0.0048"
"2791","abdankst","-0.0048"
"2792","abdanktest","-0.0048"
"2793","abdankten","-0.0048"
"2794","abdanket","-0.0048"
"2795","abfälligstes","-0.3197"
"2796","abfälligster","-0.3197"
"2797","abfälligste","-0.3197"
"2798","abfälligsten","-0.3197"
"2799","abfälligst","-0.3197"
"2800","abfälligstem","-0.3197"
"2801","abfällige","-0.3197"
"2802","abfälligerer","-0.3197"
"2803","abfälliger","-0.3197"
"2804","abfälligere","-0.3197"
"2805","abfälliges","-0.3197"
"2806","abfälligeren","-0.3197"
"2807","abfälligerem","-0.3197"
"2808","abfälligen","-0.3197"
"2809","abfälligem","-0.3197"
"2810","abfälligeres","-0.3197"
"2811","abführtet","-0.3358"
"2812","abführt","-0.3358"
"2813","abführst","-0.3358"
"2814","abführe","-0.3358"
"2815","abführte","-0.3358"
"2816","abführet","-0.3358"
"2817","abführ","-0.3358"
"2818","abgeführt","-0.3358"
"2819","abführtest","-0.3358"
"2820","abführten","-0.3358"
"2821","abführest","-0.3358"
"2822","abgedroschner","-0.1839"
"2823","abgedroschenste","-0.1839"
"2824","abgedroschenem","-0.1839"
"2825","abgedroscheneres","-0.1839"
"2826","abgedroschenst","-0.1839"
"2827","abgedroschenerer","-0.1839"
"2828","abgedroschener","-0.1839"
